device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EBE0D5E1,2023-08-21,00:00:20,33.05,67.79,1.0,0.0,0.0
B827EBCDA199,2023-08-21,00:00:31,32.24,71.03,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:00:52,34.61,63.77,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:05:21,33.08,67.75,0.0,0.0,0.0
B827EBCDA199,2023-08-21,00:05:31,32.29,71.01,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:05:53,34.65,63.76,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:10:22,33.09,67.73,0.0,0.0,0.0
B827EBCDA199,2023-08-21,00:10:32,32.3,70.92,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:10:54,34.63,63.77,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:15:22,33.12,67.68,1.0,0.0,0.0
B827EBCDA199,2023-08-21,00:15:33,32.33,70.93,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:15:55,34.65,63.78,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:20:23,33.12,67.63,1.0,0.0,0.0
B827EBCDA199,2023-08-21,00:20:33,32.33,70.96,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:20:55,34.65,63.82,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:25:24,33.13,67.62,1.0,0.0,0.0
B827EBCDA199,2023-08-21,00:25:34,32.35,70.88,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:25:56,34.63,63.78,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:30:24,33.15,67.87,2.0,0.0,0.0
B827EBCDA199,2023-08-21,00:30:35,32.38,70.83,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:30:57,34.66,63.83,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:35:25,33.16,67.81,0.0,0.0,0.0
B827EBCDA199,2023-08-21,00:35:35,32.37,70.77,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:35:57,34.67,63.79,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:40:26,33.18,67.7,2.0,0.0,0.0
B827EBCDA199,2023-08-21,00:40:36,32.4,70.73,0.0,0.0,0.0
B827EB5C665E,2023-08-21,00:40:58,34.67,63.78,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:45:26,33.16,67.73,1.0,0.0,0.0
B827EBCDA199,2023-08-21,00:45:37,32.41,70.72,1.0,0.0,0.0
B827EB5C665E,2023-08-21,00:45:59,34.7,63.68,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:50:27,33.18,67.68,3.0,0.0,0.0
B827EBCDA199,2023-08-21,00:50:37,32.45,70.67,1.0,0.0,0.0
B827EB5C665E,2023-08-21,00:50:59,34.73,63.61,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,00:55:28,33.18,67.53,2.0,0.0,0.0
B827EBCDA199,2023-08-21,00:55:38,32.43,70.6,1.0,0.0,0.0
B827EB5C665E,2023-08-21,00:56:00,34.7,63.54,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:00:28,33.19,67.33,3.0,0.0,0.0
B827EBCDA199,2023-08-21,01:00:39,32.45,70.51,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:01:01,34.75,63.42,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:05:29,33.18,67.53,2.0,0.0,0.0
B827EBCDA199,2023-08-21,01:05:39,32.47,70.42,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:06:02,34.76,63.39,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:10:30,33.18,67.53,3.0,0.0,0.0
B827EBCDA199,2023-08-21,01:10:40,32.5,70.43,1.0,0.0,0.0
B827EB5C665E,2023-08-21,01:11:03,34.78,63.34,2.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:15:30,33.2,67.54,2.0,0.0,0.0
B827EBCDA199,2023-08-21,01:15:41,32.49,70.46,1.0,0.0,0.0
B827EB5C665E,2023-08-21,01:16:04,34.78,63.3,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:20:31,33.16,67.5,1.0,0.0,0.0
B827EBCDA199,2023-08-21,01:20:41,32.5,70.45,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:21:04,34.81,63.24,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:25:32,33.15,67.47,3.0,0.0,0.0
B827EBCDA199,2023-08-21,01:25:42,32.51,70.29,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:26:05,34.83,63.14,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:30:33,33.18,67.43,2.0,0.0,0.0
B827EBCDA199,2023-08-21,01:30:43,32.55,70.25,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:31:06,34.83,63.1,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:35:33,33.18,67.42,3.0,0.0,0.0
B827EBCDA199,2023-08-21,01:35:44,32.51,70.19,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:36:07,34.86,62.94,2.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:40:34,33.16,67.3,2.0,0.0,0.0
B827EBCDA199,2023-08-21,01:40:44,32.57,70.15,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:41:08,34.88,62.9,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:45:35,33.18,67.28,2.0,0.0,0.0
B827EBCDA199,2023-08-21,01:45:45,32.54,70.01,1.0,0.0,0.0
B827EB5C665E,2023-08-21,01:46:09,34.89,62.82,2.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:50:35,33.16,67.25,3.0,0.0,0.0
B827EBCDA199,2023-08-21,01:50:46,32.6,69.84,1.0,0.0,0.0
B827EB5C665E,2023-08-21,01:51:10,34.89,62.65,2.0,0.0,0.0
B827EBE0D5E1,2023-08-21,01:55:36,33.18,67.19,2.0,0.0,0.0
B827EBCDA199,2023-08-21,01:55:47,32.58,69.87,0.0,0.0,0.0
B827EB5C665E,2023-08-21,01:56:10,34.94,62.58,3.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:00:37,33.18,67.12,2.0,0.0,0.0
B827EBCDA199,2023-08-21,02:00:47,32.55,69.77,1.0,0.0,0.0
B827EB5C665E,2023-08-21,02:01:11,34.93,62.5,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:05:37,33.18,67.11,3.0,0.0,0.0
B827EBCDA199,2023-08-21,02:05:48,32.55,69.83,1.0,0.0,0.0
B827EB5C665E,2023-08-21,02:06:12,34.96,62.43,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:10:38,33.15,67.04,3.0,0.0,0.0
B827EBCDA199,2023-08-21,02:10:49,32.55,69.73,1.0,0.0,0.0
B827EB5C665E,2023-08-21,02:11:13,34.97,62.35,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:15:39,33.18,66.94,3.0,0.0,0.0
B827EBCDA199,2023-08-21,02:15:49,32.6,69.69,0.0,0.0,0.0
B827EB5C665E,2023-08-21,02:16:13,35.0,62.14,2.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:20:40,33.2,66.84,2.0,0.0,0.0
B827EBCDA199,2023-08-21,02:20:50,32.61,69.52,1.0,0.0,0.0
B827EB5C665E,2023-08-21,02:21:14,34.99,62.05,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:25:40,33.22,66.78,3.0,0.0,0.0
B827EBCDA199,2023-08-21,02:25:51,32.64,69.35,1.0,0.0,0.0
B827EB5C665E,2023-08-21,02:26:15,35.03,61.99,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:30:41,33.19,66.42,2.0,0.0,0.0
B827EBCDA199,2023-08-21,02:30:52,32.67,69.08,1.0,0.0,0.0
B827EB5C665E,2023-08-21,02:31:15,35.04,61.93,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:35:42,33.19,66.45,2.0,0.0,0.0
B827EBCDA199,2023-08-21,02:35:52,32.7,69.02,0.0,0.0,0.0
B827EB5C665E,2023-08-21,02:36:16,35.1,61.73,2.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:40:42,33.22,66.63,2.0,0.0,0.0
B827EBCDA199,2023-08-21,02:40:53,32.7,68.98,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:45:43,33.23,66.62,3.0,0.0,0.0
B827EBCDA199,2023-08-21,02:45:54,32.7,69.03,0.0,0.0,0.0
B827EB5C665E,2023-08-21,02:46:17,35.13,61.64,2.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:50:44,33.23,66.56,2.0,0.0,0.0
B827EBCDA199,2023-08-21,02:50:54,32.72,69.04,0.0,0.0,0.0
B827EB5C665E,2023-08-21,02:51:18,35.17,61.53,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,02:55:44,33.25,66.56,2.0,0.0,0.0
B827EBCDA199,2023-08-21,02:55:55,32.74,68.92,0.0,0.0,0.0
B827EB5C665E,2023-08-21,02:56:19,35.23,61.33,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,03:00:45,33.23,66.42,1.0,0.0,0.0
B827EBCDA199,2023-08-21,03:00:56,32.77,68.92,0.0,0.0,0.0
B827EB5C665E,2023-08-21,03:01:19,35.26,61.26,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,03:05:46,33.23,66.34,2.0,0.0,0.0
B827EBCDA199,2023-08-21,03:05:56,32.8,68.65,1.0,0.0,0.0
B827EB5C665E,2023-08-21,03:06:20,35.26,61.17,0.0,0.0,0.0
B827EBE0D5E1,2023-08-21,03:10:47,33.26,66.39,2.0,0.0,0.0
B827EBCDA199,2023-08-21,03:10:57,32.78,68.63,0.0,0.0,0.0
B827EB5C665E,2023-08-21,03:11:21,35.24,61.15,1.0,0.0,0.0
B827EBE0D5E1,2023-08-21,03:15:47,33.26,66.33,2.0,0.0,0.0
B827EBCDA199,2023-08-21,03:15:58,32.81,68.56,0.0,0.0,0.0
