device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EB8E7DC3,2023-12-24,00:04:04,23.67,57.16,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:09:05,23.72,57.23,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:14:06,23.72,57.19,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:19:06,23.75,57.16,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:24:07,23.75,57.24,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:29:08,23.77,57.22,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:34:08,23.83,57.22,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:39:09,23.83,57.25,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:44:10,23.82,57.27,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:49:11,23.89,57.23,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:54:11,23.92,57.23,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,00:59:13,23.92,57.25,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:04:13,23.96,57.25,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:09:14,23.96,57.24,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:14:15,23.99,57.35,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:19:16,23.97,57.38,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:24:16,24.0,57.51,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:29:17,24.01,57.49,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:34:18,24.06,57.51,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:39:18,24.07,57.43,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:44:19,24.1,57.43,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:49:20,24.13,57.44,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:54:20,24.14,57.44,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,01:59:21,24.2,57.49,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:04:22,24.21,57.39,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:09:23,24.28,57.33,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:14:23,24.31,57.32,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:19:24,24.38,57.3,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:24:25,24.41,57.23,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:29:26,24.47,57.12,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:34:26,24.52,56.96,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:39:27,24.57,56.78,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:44:28,24.66,56.62,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:49:28,24.77,56.43,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:54:29,24.85,56.35,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,02:59:30,24.89,56.22,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:04:31,24.91,56.16,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:09:32,24.97,56.13,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:14:33,25.06,56.01,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:19:33,25.13,55.86,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:24:34,25.16,55.8,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:29:35,25.24,55.72,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:34:36,25.3,55.62,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:39:36,25.35,55.58,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:44:37,25.42,55.47,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:49:38,25.49,55.26,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:54:39,25.55,55.15,0.0,0.0,0.0
B827EB8E7DC3,2023-12-24,03:59:39,25.58,54.98,0.0,0.0,0.0
