device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EB8E7DC3,2023-06-09,00:00:27,33.52,62.65,0.0,0.0,0.0
B827EB5C665E,2023-06-09,00:00:43,33.69,65.65,1.0,0.0,0.0
B827EBCDA199,2023-06-09,00:03:00,31.79,69.99,0.0,0.0,0.0
B827EBE0D5E1,2023-06-09,00:04:02,33.5,66.87,3.0,0.0,0.0
B827EB8E7DC3,2023-06-09,00:05:32,33.62,62.6,0.0,0.0,0.0
B827EB5C665E,2023-06-09,00:05:45,33.66,65.97,3.0,0.0,0.0
B827EBCDA199,2023-06-09,00:08:01,31.82,69.76,1.0,0.0,0.0
B827EBE0D5E1,2023-06-09,00:09:03,33.61,66.43,3.0,0.0,0.0
B827EB8E7DC3,2023-06-09,00:10:33,33.71,62.47,0.0,0.0,0.0
B827EB5C665E,2023-06-09,00:10:46,33.55,65.96,1.0,0.0,0.0
B827EBCDA199,2023-06-09,00:13:02,31.83,69.49,1.0,0.0,0.0
B827EBE0D5E1,2023-06-09,00:14:04,33.68,65.98,4.0,0.0,0.0
B827EB8E7DC3,2023-06-09,00:15:34,33.78,62.44,0.0,0.0,0.0
B827EB5C665E,2023-06-09,00:15:47,33.93,64.67,2.0,0.0,0.0
B827EBCDA199,2023-06-09,00:18:02,31.86,69.28,2.0,0.0,0.0
B827EBE0D5E1,2023-06-09,00:19:05,33.71,65.6,2.0,0.0,0.0
B827EB8E7DC3,2023-06-09,00:20:35,33.88,62.33,0.0,0.0,0.0
B827EB5C665E,2023-06-09,00:20:48,34.22,64.09,5.0,0.0,0.0
B827EBCDA199,2023-06-09,00:23:03,31.87,69.33,1.0,0.0,0.0
B827EBE0D5E1,2023-06-09,00:24:05,33.65,65.76,2.0,0.0,0.0
B827EB8E7DC3,2023-06-09,00:25:35,33.99,62.2,0.0,0.0,0.0
B827EB5C665E,2023-06-09,00:25:49,34.39,64.31,3.0,0.0,0.0
B827EBCDA199,2023-06-09,00:28:04,31.93,68.88,2.0,0.0,0.0
B827EBE0D5E1,2023-06-09,00:29:06,33.7,65.8,3.0,0.0,0.0
B827EB8E7DC3,2023-06-09,00:30:36,34.09,62.01,0.0,0.0,0.0
